,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
149,Foo,4.0,174,Asian Fusion,victoria,BC,"769 Yates Street Victoria, BC V8W 1L6 Canada",48.4256723,-123.3625316,BC,25
150,Little Yunnan Restaurant,4.5,130,Asian Fusion,victoria,BC,"546 Fisgard St Victoria, BC V8W 1R4 Canada",48.4294829,-123.3678964,BC,25
151,10 Acres Bistro,3.9,502,Brasseries,victoria,BC,"611 Courtney Street Victoria, BC V8W 1B7 Canada",48.423293,-123.367614,BC,25
152,Nautical Nellies Steak & Seafood House,3.9,389,Seafood,victoria,BC,"1001 Wharf Street Victoria, BC V8W 1T6 Canada",48.4245047,-123.3693897,BC,25
153,Chimac Korean Pub & Fried Chicken,4.3,66,Korean,victoria,BC,"512 Yates Street Victoria, BC V8W 2Z6 Canada",48.4270939,-123.3698779,BC,25
154,Nourish In The Harbour,4.4,197,Breakfast & Brunch,victoria,BC,"225 Quebec Street Victoria, BC V8V 1W2 Canada",48.4216723,-123.3768092,BC,25
155,Bao,4.1,137,Asian Fusion,victoria,BC,"626 Fisgard Street Victoria, BC V8W 1R6 Canada",48.42950039999999,-123.365947,BC,25
156,Hanks A Restaurant,4.5,95,Canadian (New),victoria,BC,"1001 Douglas Street Unit G2A Victoria, BC V8W 2C5 Canada",48.42391929999999,-123.3653111,BC,25
157,Jam Cafe,4.5,652,Breakfast & Brunch,victoria,BC,"542 Herald Street Victoria, BC V8W 1S5 Canada",48.4303785,-123.3677163,BC,25
158,Superbaba,4.5,55,Middle Eastern,victoria,BC,"1325 Blanshard Street Victoria, BC V8W 0B5 Canada",48.4266911,-123.3615715,BC,25
159,Chorizo & Co,4.4,82,Spanish,victoria,BC,"807 Fort Street Victoria, BC V8W 1H6 Canada",48.4241398,-123.3620667,BC,10
160,Aura Waterfront Restaurant + Patio,4.0,119,Seafood,victoria,BC,"680 Montreal Street Victoria, BC V8V 1Z8 Canada",48.42353019999999,-123.3766889,BC,25
161,10 Acres Commons,3.7,136,Seafood,victoria,BC,"620 Humboldt Street Victoria, BC V8W 1A4 Canada",48.4228855,-123.3678035,BC,25
162,The Fish Store,4.2,181,Seafood Markets,victoria,BC,"1 Dallas Road Victoria, BC V8V 0B2 Canada",48.42299999999999,-123.38349,BC,25
163,The Cozy Place Restaurant,4.4,111,Chinese,victoria,BC,"1692 Douglas Street Victoria, BC V8W 2G6 Canada",48.4292309,-123.364691,BC,25
164,Uchida Eatery / Shokudo,4.6,58,Japanese,victoria,BC,"633 Courtney Street Suite 22 Victoria, BC V8W 1B9 Canada",48.42284,-123.36645,BC,25
165,Q at The Empress,3.9,107,Seafood,victoria,BC,"721 Government St Victoria, BC V8W 1W5 Canada",48.4222401,-123.3680585,BC,45
166,BeaverTails,4.5,61,Desserts,victoria,BC,"602 Broughton Street Victoria, BC V8W 1C7 Canada",48.42433339999999,-123.367646,BC,10
167,Fiamo,3.9,133,Italian,victoria,BC,"515 Yates Street Victoria, BC V8W 1K7 Canada",48.4266982,-123.3697847,BC,25
168,Virtuous Pie,4.7,32,Pizza,victoria,BC,"530 Pandora Avenue Victoria, BC V8W 1N6 Canada",48.4286181,-123.3684944,BC,25
169,Breakwater,3.5,66,Cafes,victoria,BC,"199 Dallas Road Victoria, BC V8V 1A2 Canada",48.4154371,-123.3846996,BC,25
170,Bear & Joey Cafe,4.4,21,Cafes,victoria,BC,"1025 Cook St Victoria, BC V8V 3Z7 Canada",48.4230104,-123.3539516,BC,25
171,Blue Crab Seafood House,3.8,149,Seafood,victoria,BC,"146 Kingston Street Victoria, BC V8V 1V4 Canada",48.422146,-123.3795799,BC,45
